OBJECTID_12,Cod_Favela,Nome,Cod_Comp,Complexo,UPP,Pop_SABR,Dom_SABR,Fonte,Porte,Bairro,RA,RP,AP,Programa_Urbanizacao_1,Programa_Urbanizacao_2,Programa_Urbanizacao_3,Contagem_Domicílios,Ano_Contagem_Domicílios,PROAP,PROAP_Panoramas,PROAP_MRP,PROAP_Fichas,Grau_Urbanizacao,Urbanizadas_DEC36388_2012,Urbanizáveis_DEC36388_2012,AEIS_Número,AEIS_Data,AEIS_Número_Data,Denominação_AEIS,Observações_AEIS,Validação_AEIS_SMH,Ciclo_Morar_Carioca,Observações_Ciclos,Agrupamento_Número,Agrupamento_Nome,Agrupamento_Número_Nome
2449,71,Morro da Formiga,0,Isolada,Formiga,4312,1279,IBGE - Censo Demográfico 2010,> 500 domicílios,33,Tijuca,Tijuca,2,1,6,0,0, ,,,, ,1,1,0,2818,23/06/1999,2818/1999,Formiga, ,1,1, , , , 
2450,72,Morro da Liberdade,2006,Turano,Turano,3258,923,IBGE - Censo Demográfico 2010,> 500 domicílios,33,Tijuca,Tijuca,2,1,6,0,0, ,,,, ,1,0,1,3704,12/12/2003,3704/2003,"Complexo do Turano - Liberdade, Chacrinha, Bispo, Rodo, Matinha","A AEIS não abrange toda a área da favela. Em contrapartida, abrange áreas que estão fora do limite estabelecido pelo SABREN.",1,1, , , , 
2451,73,Morro do Bananal,0,Isolada,Borel,307,75,IBGE - Censo Demográfico 2010,< 100 domicílios,33,Tijuca,Tijuca,2,0,0,0,0, ,,,, ,4,0,0, , , , , ,0,0, , , , 
2452,74,Salgueiro,0,Isolada,Salgueiro,3149,869,IBGE - Censo Demográfico 2010,> 500 domicílios,33,Tijuca,Tijuca,2,1,0,0,0, ,,,, ,1,1,0,2818,23/06/1999,2818/1999,Salgueiro,"A AEIS não abrange toda a área da favela. Em contrapartida, abrange áreas que estão fora do limite estabelecido pelo SABREN.",1,0, , , , 
2453,75,Arrelia,2025,Andaraí,Andaraí,1972,606,IBGE - Censo Demográfico 2010,> 500 domicílios,37,Vila Isabel,Tijuca,2,1,0,0,0, ,,,, ,1,1,0,2499,26/11/1996,2499/1996,Andaraí,"A AEIS não abrange toda a área da favela. Em contrapartida, abrange áreas que estão fora do limite estabelecido pelo SABREN.",1,0, , , , 
2454,76,Borda do Mato,2022,Parque João Paulo II,Andaraí,420,131,IBGE - Censo Demográfico 2010,entre 101 e 500 domicílios,38,Vila Isabel,Tijuca,2,1,6,0,0, ,,,, ,1,0,1,3412,13/06/2002,3412/2002,Nova Divinéia/ Borda do Mato/ Parque JK/ Parque João Paulo II,A AEIS não abrange toda a área da favela.,1,1, , , , 
2455,77,Buraco Quente,2024,Morro do Cruz,Borel,176,59,IBGE - Censo Demográfico 2010,< 100 domicílios,37,Vila Isabel,Tijuca,2,1,0,0,0, ,,,, ,1,1,0,3689,24/11/2003,3689/2003,Morro do Cruz / Buraco Quente,"A AEIS não abrange toda a área da favela. Em contrapartida, abrange áreas que estão fora do limite estabelecido pelo SABREN.",1,0, , , , 
2456,78,Jamelão,2025,Andaraí,Andaraí,943,262,IBGE - Censo Demográfico 2010,entre 101 e 500 domicílios,37,Vila Isabel,Tijuca,2,1,0,0,0, ,,,, ,1,1,0,2499,26/11/1996,2499/1996,Andaraí,"A AEIS não abrange toda a área da favela. Em contrapartida, abrange áreas que estão fora do limite estabelecido pelo SABREN.",1,0, , , , 
2457,79,Morro do Cruz,2024,Morro do Cruz,Borel,1355,414,IBGE - Censo Demográfico 2010,entre 101 e 500 domicílios,37,Vila Isabel,Tijuca,2,1,0,0,0, ,,,, ,1,1,0,3689,24/11/2003,3689/2003,Morro do Cruz / Buraco Quente,"A AEIS não abrange toda a área da favela. Em contrapartida, abrange áreas que estão fora do limite estabelecido pelo SABREN.",1,0, , , , 
2458,80,Morro dos Macacos,2023,Morro dos Macacos,Macacos,5072,1384,IBGE - Censo Demográfico 2010,> 500 domicílios,36,Vila Isabel,Tijuca,2,1,6,0,1888,2013,,,, ,3,0,1,2811,15/06/1999,2811/1999,"Morro dos Macacos, Parque Vila Isabel e Pau da Bandeira","A AEIS não abrange toda a área da favela. Em contrapartida, abrange áreas que estão fora do limite estabelecido pelo SABREN.",1,2,Necessário Reassentamento de edificações em área de risco,05,Morro dos Macacos,05 - Morro dos Macacos
2459,81,Nova Divinéia,2022,Parque João Paulo II,Andaraí,1975,627,IBGE - Censo Demográfico 2010,> 500 domicílios,38,Vila Isabel,Tijuca,2,1,6,0,0, ,,,, ,1,0,1,3412,13/06/2002,3412/2002,Nova Divinéia/ Borda do Mato/ Parque JK/ Parque João Paulo II,"A AEIS não abrange toda a área da favela. Em contrapartida, abrange áreas que estão fora do limite estabelecido pelo SABREN.",1,1, , , , 
2460,82,Parque João Paulo II,2022,Parque João Paulo II,Andaraí,2615,810,IBGE - Censo Demográfico 2010,> 500 domicílios,38,Vila Isabel,Tijuca,2,1,6,0,855, ,,,, ,1,0,1,3412,13/06/2002,3412/2002,Nova Divinéia/ Borda do Mato/ Parque JK/ Parque João Paulo II,"A AEIS não abrange toda a área da favela. Em contrapartida, abrange áreas que estão fora do limite estabelecido pelo SABREN.",1,1, , , , 
2461,83,Parque Vila Isabel,2023,Morro dos Macacos,Macacos,14007,4045,IBGE - Censo Demográfico 2010,> 500 domicílios,36,Vila Isabel,Tijuca,2,1,6,0,2839,2013,,,, ,3,0,1,2811,15/06/1999,2811/1999,"Morro dos Macacos, Parque Vila Isabel e Pau da Bandeira","A AEIS não abrange toda a área da favela. Em contrapartida, abrange áreas que estão fora do limite estabelecido pelo SABREN.",1,2,Necessário Reassentamento de edificações em área de risco,05,Morro dos Macacos,05 - Morro dos Macacos
2462,84,Baixa do Sapateiro,2085,Maré,Maré,7562,2499,IBGE - Censo Demográfico 2010,> 500 domicílios,157,Maré,Ramos,3,4,0,0,0, ,,,, ,1,1,0, , , , , ,0,0, , , , 
2463,85,Chp-2,2026,Manguinhos,Manguinhos,3908,1136,IBGE - Censo Demográfico 2010,> 500 domicílios,39,Ramos,Ramos,3,0,6,0,0, ,,,, ,1,0,1,4379,20/06/2006,4379/2006,CHP - 2,A  AEIS extrapola o limite da favela estabelecido pelo SABREN,1,1, , , , 
2464,86,Igreja Nossa Senhora da Conceição,0,Isolada,N,301,96,IBGE - Censo Demográfico 2010,< 100 domicílios,41,Ramos,Ramos,3,0,0,0,0, ,,,, ,4,0,1, , , , , ,0,0, , , , 
2465,87,Itararé,2084,Complexo do Alemão,Nova Brasília,1568,505,IPP com base em IBGE - Censo Demográfico 2010,> 500 domicílios,156,Complexo do Alemão,Inhaúma,3,12,0,0,0, ,,,, ,4,0,1,4453,27/12/2006,4453/2006,Complexo do Alemão,A  AEIS extrapola o limite da favela estabelecido pelo SABREN,1,0, , , , 
2466,88,Joana Nascimento,0,Isolada,Maré,64,24,IPP com base em IBGE - Censo Demográfico 2010,< 100 domicílios,157,Maré,Ramos,3,0,0,0,0, ,,,, ,4,0,1, , , , , ,0,0, , , , 
2467,89,Joaquim de Queiróz,2084,Complexo do Alemão,Nova Brasília,6995,2090,IPP com base em IBGE - Censo Demográfico 2010,> 500 domicílios,156,Complexo do Alemão,Inhaúma,3,0,6,0,0, ,,,, ,1,0,1,4453,27/12/2006,4453/2006,Complexo do Alemão,A  AEIS extrapola o limite da favela estabelecido pelo SABREN,1,1, , , , 
2468,90,Parque Maré,2085,Maré,Maré,12421,4018,IBGE - Censo Demográfico 2010,> 500 domicílios,157,Maré,Ramos,3,4,0,0,0, ,,,, ,1,1,0, , , , , ,0,0, , , , 
2469,91,Morro da Baiana,2084,Complexo do Alemão,Adeus / Baiana,2086,669,IBGE - Censo Demográfico 2010,> 500 domicílios,156,Complexo do Alemão,Inhaúma,3,0,6,0,0, ,,,, ,1,0,1,4453,27/12/2006,4453/2006,Complexo do Alemão,O polígono desta favela está incluído na delimitação da AEIS Complexo do Alemão (Lei 4453/2006).,1,1, , , , 
2470,92,Morro do Adeus,2084,Complexo do Alemão,Adeus / Baiana,1102,345,IPP com base em IBGE - Censo Demográfico 2010,entre 101 e 500 domicílios,156,Complexo do Alemão,Inhaúma,3,0,6,0,0, ,,,, ,1,0,1,4981,24/12/2008,4981/2008,Comunidade Morro do Adeus,A AEIS não abrange toda a área da favela. O polígono da AEIS descrita na Lei 4981/2008 atinge também a favela Morro do Piancó.,1,1, , , , 
2471,93,Morro do Alemão,2084,Complexo do Alemão,Alemão,14413,4138,IPP com base em IBGE - Censo Demográfico 2010,> 500 domicílios,156,Complexo do Alemão,Inhaúma,3,0,6,0,0, ,,,, ,1,0,1,4453,27/12/2006,4453/2006,Complexo do Alemão,"A AEIS não abrange toda a área da favela. Em contrapartida, abrange áreas que estão fora do limite estabelecido pelo SABREN.",1,1, , , , 
2472,94,Morro do Cariri,2031,Vila Cruzeiro,Vila Cruzeiro,8394,2519,IPP com base em IBGE - Censo Demográfico 2010,> 500 domicílios,42,Ramos,Ramos,3,0,6,0,4036, ,,,, ,4,0,1,5324,31/10/2011,5324/2011,Comunidade Complexo Vila Cruzeiro,Esta favela está incluída na delimitação da AEIS Comunidade Complexo Vila Cruzeiro (Lei 5324/2011).,1,1, , , , 
2473,95,Morro do Piancó,2084,Complexo do Alemão,Adeus / Baiana,1166,344,IBGE - Censo Demográfico 2010,entre 101 e 500 domicílios,156,Complexo do Alemão,Inhaúma,3,0,6,0,0, ,,,, ,1,0,1,4981,24/12/2008,4981/2008,Comunidade Morro do Adeus,O polígono desta favela está incluído na delimitação da AEIS descrita na Lei 4981/2008.,1,1, , , , 
2474,96,Nova Holanda,2085,Maré,Maré,13341,4085,IPP com base em IBGE - Censo Demográfico 2010,> 500 domicílios,157,Maré,Ramos,3,4,0,0,0, ,,,, ,1,1,0, , , , ,Uma pequena parte da favela é abrangida pela AEIS Maré (Lei 2616/1998),0,0, , , , 
2475,97,Paraibuna,0,Isolada,Maré,0,0, ,Sem informação,157,Maré,Ramos,3,0,0,0,0, ,,,, ,4,0,1, , , , , ,0,0, , , , 
2476,98,Parque Carlos Chagas,2026,Manguinhos,Manguinhos,1152,353,IBGE - Censo Demográfico 2010,entre 101 e 500 domicílios,39,Ramos,Ramos,3,0,0,0,0, ,,,, ,4,0,1,4379,20/06/2006,4379/2006,Parque Carlos Chagas,A  AEIS extrapola o limite da favela estabelecido pelo SABREN,1,0, , , , 
2477,99,Parque Félix Ferreira,0,Isolada,N,773,248,IBGE - Censo Demográfico 2010,entre 101 e 500 domicílios,50,Inhaúma,Inhaúma,3,0,0,0,0, ,,,, ,4,0,1, , , , , ,0,0, , , , 
2478,100,Parque João Goulart,2026,Manguinhos,Manguinhos,3758,950,IPP com base em IBGE - Censo Demográfico 2010,> 500 domicílios,39,Ramos,Ramos,3,0,6,0,0, ,,,, ,1,0,1,4379,20/06/2006,4379/2006,Parque João Goulart,A  AEIS extrapola o limite da favela estabelecido pelo SABREN. Esta favela foi parcialmente reassentada,1,1, , , , 
2479,101,Parque Oswaldo Cruz,0,Isolada,Manguinhos,4776,1232,IBGE - Censo Demográfico 2010,> 500 domicílios,39,Ramos,Ramos,3,7,6,0,0, ,,,, ,2,0,1,4379,20/06/2006,4379/2006,Parque Oswaldo Cruz,A  AEIS extrapola o limite da favela estabelecido pelo SABREN,1,1, , , , 
2480,102,Parque Proletário Monsenhor Brito,0,Isolada,N,1033,415,IBGE - Censo Demográfico 2010,entre 101 e 500 domicílios,40,Ramos,Ramos,3,0,0,0,0, ,,,, ,4,0,1, , , , , ,0,0, , , , 
2481,103,Parque Roquete Pinto,2086,Parque Roquete Pinto,Maré,7488,2382,IBGE - Censo Demográfico 2010,> 500 domicílios,157,Maré,Ramos,3,0,0,0,0, ,,,, ,4,0,1, , , , , ,0,0, , , , 
2482,104,Parque Rubens Vaz,2085,Maré,Maré,5154,1710,IBGE - Censo Demográfico 2010,> 500 domicílios,157,Maré,Ramos,3,4,0,0,0, ,,,, ,1,1,0, , , , ,"Uma pequena parte da favela, proxima à Linha Vermelha, é abrangida pela  AEIS da Maré (Lei 2616/1998)",0,0, , , , 
2483,105,Parque União,2085,Maré,Maré,19662,6621,IBGE - Censo Demográfico 2010,> 500 domicílios,157,Maré,Ramos,3,4,0,0,0, ,,,, ,1,1,0, , , , , ,0,0, , , , 
2484,106,Ramos,2086,Parque Roquete Pinto,Maré,3073,932,IBGE - Censo Demográfico 2010,> 500 domicílios,157,Maré,Ramos,3,0,0,0,0, ,,,, ,4,0,1, , , , , ,0,0, , , , 
2485,107,Tenente Pimentel,0,Isolada,N,309,73,IBGE - Censo Demográfico 2010,< 100 domicílios,42,Ramos,Ramos,3,0,0,0,0, ,,,, ,4,0,1, , , , , ,0,0, , , , 
2486,108,Timbau,2085,Maré,Maré,5916,1964,IBGE - Censo Demográfico 2010,> 500 domicílios,157,Maré,Ramos,3,4,0,0,0, ,,,, ,1,1,0, , , , , ,0,0, , , , 
2487,109,Vila Cruzeiro,2031,Vila Cruzeiro,Vila Cruzeiro,8611,2336,IPP com base em IBGE - Censo Demográfico 2010,> 500 domicílios,42,Ramos,Ramos,3,0,6,0,1975, ,,,, ,2,0,1,5324,31/10/2011,5324/2011,Comunidade Complexo Vila Cruzeiro,Esta favela está incluída na delimitação da AEIS do Complexo Vila Cruzeiro (Lei 5324/2011),1,1, , , , 
2488,110,Vila Residencial Darcy Vargas,2027,Parque Itambé,N,741,237,IBGE - Censo Demográfico 2010,entre 101 e 500 domicílios,41,Ramos,Ramos,3,0,0,0,0, ,,,, ,4,0,1, , , , , ,0,0, , , , 
2489,111,Vila Santo Antônio (RA - Ramos),0,Isolada,N,431,151,IBGE - Censo Demográfico 2010,entre 101 e 500 domicílios,41,Ramos,Ramos,3,2,0,0,0, ,,,, ,1,1,0,2817,23/06/1999,2817/1999,Vila Santo Antonio,Parte da favela está fora dos limites da AEIS.,1,0, , , , 
2490,112,Vila Turismo,2026,Manguinhos,Manguinhos,4748,1604,IBGE - Censo Demográfico 2010,> 500 domicílios,39,Ramos,Ramos,3,0,6,0,0, ,,,, ,1,0,1,4379,20/06/2006,4379/2006,Vila Turismo,"A AEIS não abrange toda a área da favela. Em contrapartida, abrange áreas que estão fora do limite estabelecido pelo SABREN.",1,1, , , , 
2491,113,Bairro Proletário do Dique,2032,Bairro Proletário do Dique,N,6132,1547,IBGE - Censo Demográfico 2010,> 500 domicílios,48,Vigário Geral,Penha,3,1,6,0,792,2012,,,, ,2,0,1,"2818; 6018","23/06/1999; 11/11/2015","2818/1999; 6018/2015","Bairro Proletário do Dique; Bairro Proletário do Dique - Polígono A","A favela é abrangida por duas Leis de AEIS distintas, mas ainda assim uma pequena parte da favela está fora dos limite de AEIS.",1,2, ,21,Dique,21 - Dique
2492,114,Brás de Pina,0,Isolada,N,7395,2056,IBGE - Censo Demográfico 2010,> 500 domicílios,45,Penha,Penha,3,10,6,0,2138,2012,,,, ,3,0,1,"5769; LC114","14/07/2014; 26/12/2011","5769/2014; LC114/2011",Brás de Pina,"A AEIS não abrange toda a área da favela. Em contrapartida, abrange áreas que estão fora do limite estabelecido pelo SABREN.",1,2, ,16,Cordovil,16 - Cordovil
2493,115,Centro Social Marcílio Dias,0,Isolada,N,2102,564,IBGE - Censo Demográfico 2010,> 500 domicílios,44,Penha,Penha,3,0,0,0,0, ,,,, ,1,1,0,LC114,26/12/2011,LC114/2011,Marcílio Dias,A Lei de AEIS não apresenta descrição de delimites. Para delimitação da AEIS foi considerado o limite da favela estabelecido pelo SABREN.,1,0, , , , 
2494,116,Cordovil,0,Isolada,N,2301,545,IBGE - Censo Demográfico 2010,> 500 domicílios,46,Vigário Geral,Penha,3,0,6,8,701,2012,,,, ,3,0,1,5770,14/07/2014,5770/2014,Cordovil,A  AEIS extrapola o limite da favela estabelecido pelo SABREN,1,2, ,16,Cordovil,16 - Cordovil
2495,117,Dourados,2033,Dourados,N,676,131,IBGE - Censo Demográfico 2010,entre 101 e 500 domicílios,46,Vigário Geral,Penha,3,0,0,0,0, ,,,, ,4,0,1, , , , , ,0,0, , , , 
2496,118,Mangueirinha,2030,Morro da Guaíba,N,1035,314,IPP com base em IBGE - Censo Demográfico 2010,entre 101 e 500 domicílios,45,Penha,Penha,3,0,0,0,0, ,,,, ,4,0,1,LC114,26/12/2011,LC114/2011,Mangueirinha,A Lei de AEIS não apresenta descrição de delimites. Para delimitação da AEIS foi considerado o limite da favela estabelecido pelo SABREN.,1,0, , , , 
2497,119,Morro da Caixa d'Água (RA - Penha),2028,Grotão,Chatuba,2882,761,IPP com base em IBGE - Censo Demográfico 2010,> 500 domicílios,44,Penha,Penha,3,1,0,0,0, ,,,, ,1,0,1,2702,08/12/1998,2702/1998,Morro da Caixa D'Água,"Uma parte da área da favela está fora dos limites da AEIS, e outra parte é abrangida pela AEIS do Morro do Caracol (Lei 2702/98)",0,0, , , , 
2498,120,Morro da Fé,2028,Grotão,Fé / Sereno,2483,706,IBGE - Censo Demográfico 2010,> 500 domicílios,44,Penha,Penha,3,1,0,0,0, ,,,, ,1,1,0,2702,08/12/1998,2702/1998,Morro da Fé,"A favela foi declarada AEIS pela Lei 2499/1996 e novamente pela lei 2702/1998, com seus limites descritos.",1,0, , , , 
2499,121,Morro da Guaíba,2030,Morro da Guaíba,N,1907,576,IBGE - Censo Demográfico 2010,> 500 domicílios,45,Penha,Penha,3,0,0,0,0, ,,,, ,4,0,1, , , , ,"Favela situada entre duas AEIS: Vila Pequeri (a Leste) e Mangueirinha (a Oeste), ambas pela LC114/11.",0,0, , , , 
2500,122,Morro do Caracol,2028,Grotão,Chatuba,2599,711,IPP com base em IBGE - Censo Demográfico 2010,> 500 domicílios,43,Penha,Penha,3,1,0,0,0, ,,,, ,1,1,0,2702,08/12/1998,2702/1998,Morro do Caracol,"A AEIS não abrange toda a área da favela. Em contrapartida, abrange áreas que estão fora do limite estabelecido pelo SABREN.",1,0, , , , 
2501,123,Morro do Sereno,2028,Grotão,Fé / Sereno,807,142,IBGE - Censo Demográfico 2010,entre 101 e 500 domicílios,44,Penha,Penha,3,1,0,0,0, ,,,, ,1,1,0,2702,08/12/1998,2702/1998,Morro do Sereno,"A AEIS não abrange toda a área da favela. Em contrapartida, abrange áreas que estão fora do limite estabelecido pelo SABREN.",1,0, , , , 
2502,124,Parque Furquim Mendes,2032,Bairro Proletário do Dique,N,5197,1456,IBGE - Censo Demográfico 2010,> 500 domicílios,48,Vigário Geral,Penha,3,0,6,0,1736,2012,,,, ,2,0,1,5798,14/10/2014,5798/2014,Parque Furquim Mendes,"A AEIS não abrange toda a área da favela. Em contrapartida, abrange áreas que estão fora do limite estabelecido pelo SABREN.",1,2, ,21,Dique,21 - Dique
2503,126,Parque Proletário de Cordovil,2035,Vila Cambucí,N,718,171,IBGE - Censo Demográfico 2010,entre 101 e 500 domicílios,46,Vigário Geral,Penha,3,0,6,0,253,2012,,,, ,4,0,1,5770,14/07/2014,5770/2014,Parque Proletário do Cordovil,A AEIS não abrange toda a área da favela.,1,2, ,16,Cordovil,16 - Cordovil
2504,127,Parque Proletário de Vigário Geral,2034,Vigário Lucas,N,7048,1777,IBGE - Censo Demográfico 2010,> 500 domicílios,48,Vigário Geral,Penha,3,1,0,0,0, ,,,, ,1,1,0,2818,23/06/1999,2818/1999,"Pq. Prolet. de Vigário Geral, Pq. Jd. Beira-Mar e Te Contei",A  AEIS extrapola o limite da favela estabelecido pelo SABREN.,1,0, , , , 
2505,128,Parque Proletário do Grotão,2028,Grotão,Chatuba,3533,863,IPP com base em IBGE - Censo Demográfico 2010,> 500 domicílios,43,Penha,Penha,3,1,0,0,0, ,,,, ,1,0,1,2499,26/11/1996,2499/1996,Parque Proletário do Grotão,A AEIS não abrange toda a área da favela.,1,0, , , , 
2506,129,"Rua Frey Gaspar, nº 279",2028,Grotão,Fé / Sereno,284,86,IBGE - Censo Demográfico 2010,< 100 domicílios,44,Penha,Penha,3,1,0,0,0, ,,,, ,1,1,0,2702,08/12/1998,2702/1998,"Morro da Paz ou Rua Frei Gaspar, 279","A AEIS não abrange toda a área da favela. Em contrapartida, abrange áreas que estão fora do limite estabelecido pelo SABREN.",0,0, , , , 
2507,130,Rua Laudelino Freire,2031,Vila Cruzeiro,Chatuba,1191,319,IPP com base em IBGE - Censo Demográfico 2010,entre 101 e 500 domicílios,43,Penha,Penha,3,0,0,0,0, ,,,, ,4,0,1,LC114,26/12/2011,LC114/2011,Rua Laudelino Freire,A Lei de AEIS não apresenta descrição de delimites. Para delimitação da AEIS foi considerado o limite da favela estabelecido pelo SABREN.,1,0, , , , 
2508,131,Vila Cambucí,2035,Vila Cambucí,N,1102,311,IBGE - Censo Demográfico 2010,entre 101 e 500 domicílios,46,Vigário Geral,Penha,3,0,0,0,0, ,,,, ,4,0,1,3279,24/09/2001,3279/2001,Vila Cambuci,"A AEIS não abrange toda a área da favela. Em contrapartida, abrange áreas que estão fora do limite estabelecido pelo SABREN. Parte da favela é abrangida pela AEIS vizinha (Serra Pelada - Lei 5570/14)",1,0, , , , 
2509,132,Rua Rodolfo Chambelland,0,Isolada,N,932,261,IBGE - Censo Demográfico 2010,entre 101 e 500 domicílios,49,Vigário Geral,Penha,3,0,0,0,0, ,,,, ,4,0,0, , , , , ,0,0, , , , 
2510,133,Serra Pelada,2035,Vila Cambucí,N,648,168,IBGE - Censo Demográfico 2010,entre 101 e 500 domicílios,46,Vigário Geral,Penha,3,0,6,0,209,2012,,,, ,4,0,1,5770,14/07/2014,5770/2014,Serra Pelada,"A AEIS não abrange toda a área da favela. Em contrapartida, abrange áreas que estão fora do limite estabelecido pelo SABREN.",1,2, ,16,Cordovil,16 - Cordovil
2511,134,Te Contei,2034,Vigário Lucas,N,339,100,IBGE - Censo Demográfico 2010,< 100 domicílios,47,Vigário Geral,Penha,3,1,0,0,0, ,,,, ,1,1,0,2818,23/06/1999,2818/1999,"Pq. Prolet. de Vigário Geral, Pq. Jd. Beira-Mar e Te Contei",A  AEIS extrapola o limite da favela estabelecido pelo SABREN.,1,0, , , , 
2512,125,Parque Jardim Beira Mar,2034,Vigário Lucas,N,13176,3617,IBGE - Censo Demográfico 2010,> 500 domicílios,47,Vigário Geral,Penha,3,1,0,0,0, ,,,, ,1,1,0,2818,23/06/1999,2818/1999,"Pq. Prolet. de Vigário Geral, Pq. Jd. Beira-Mar e Te Contei",A  AEIS extrapola o limite da favela estabelecido pelo SABREN.,1,0, , , , 
2513,135,Vila Proletária da Penha,2031,Vila Cruzeiro,Vila Proletária,17775,4617,IBGE - Censo Demográfico 2010,> 500 domicílios,43,Penha,Penha,3,0,6,0,0, ,,,, ,1,0,1,5324,31/10/2011,5324/2011,Comunidade Complexo Vila Cruzeiro,"Esta favela está incluída na delimitação da AEIS do Complexo Vila Cruzeiro, Lei 5324/2011.",1,1, , , , 
2514,136,Belém-Belém,0,Isolada,N,734,244,IBGE - Censo Demográfico 2010,entre 101 e 500 domicílios,66,Méier,Méier,3,0,0,0,0, ,,,, ,4,0,0, , , , , ,0,0, , , , 
2515,137,Céu Azul,2041,Dois de Maio,N,1210,338,IBGE - Censo Demográfico 2010,entre 101 e 500 domicílios,61,Méier,Méier,3,0,0,0,0, ,,,, ,4,0,1, , , , , ,0,0, , , , 
2516,138,Chácara de Del Castilho,0,Isolada,N,2489,757,IPP com base em IBGE - Censo Demográfico 2010,> 500 domicílios,53,Inhaúma,Inhaúma,3,1,0,0,0, ,,,, ,1,1,0,2499,26/11/1996,2499/1996,Chácara Del Castilho,"A AEIS não abrange toda a área da favela. Em contrapartida, abrange áreas que estão fora do limite estabelecido pelo SABREN.",1,0, , , , 
2517,139,Conjunto Residencial Fernão Cardin,0,Isolada,N,2416,775,IBGE - Censo Demográfico 2010,> 500 domicílios,66,Méier,Méier,3,1,0,0,0, ,,,, ,1,1,0,2499,26/11/1996,2499/1996,Fernão Cardin,"A AEIS não abrange toda a área da favela. Em contrapartida, abrange áreas que estão fora do limite estabelecido pelo SABREN.",1,0, , , , 
2518,140,Dois de Maio,2041,Dois de Maio,Jacarezinho,3240,870,IBGE - Censo Demográfico 2010,> 500 domicílios,60,Méier,Méier,3,1,0,0,0, ,,,, ,1,0,1,3277,24/09/2001,3277/2001,Dois de Maio,A  favela é atingida em sua totalidade pela AEIS Dois de Maio (Lei 3277/2001).,1,0, , , , 
2519,141,Jacarezinho,2083,Jacarezinho,Jacarezinho,30037,8901,IPP com base em IBGE - Censo Demográfico 2010,> 500 domicílios,155,Jacarezinho,Méier,3,3,0,0,0, ,,,, ,3,0,1,2811,15/06/1999,2811/1999,Jacarezinho,"A AEIS não abrange toda a área da favela. Em contrapartida, abrange áreas que estão fora do limite estabelecido pelo SABREN.",1,0, , , , 
2520,142,Marlene,2147,Marlene,Jacarezinho,719,234,IBGE - Censo Demográfico 2010,entre 101 e 500 domicílios,51,Méier,Méier,3,0,0,8,0, ,,,, ,3,0,1, , , , , ,0,0, , , , 
2521,143,Morro da Caixa d'Água (RA - Méier),2046,Morro do Urubu,N,662,216,IPP com base em IBGE - Censo Demográfico 2010,entre 101 e 500 domicílios,69,Méier,Méier,3,0,6,0,0, ,,,, ,3,0,1,3959,29/03/2005,3959/2005,Vila Caramuru / Morro dos Mineiros / Vila Amizade,"A Lei 3959/2005 declara como AEIS a favela Vila Amizade, nome alternativo da favela Morro da Caixa d'Água (RA-Méier)",1,1,Necessário Reassentamento de edificações situadas no Beco da Luz (risco), , , 
2522,144,Morro do Engenho da Rainha,0,Isolada,N,1592,484,IPP com base em IBGE - Censo Demográfico 2010,entre 101 e 500 domicílios,55,Inhaúma,Inhaúma,3,0,0,0,0, ,,,, ,4,0,1, , , , , ,0,0, , , , 
2523,145,Morro do Trajano,0,Isolada,N,806,223,IBGE - Censo Demográfico 2010,entre 101 e 500 domicílios,71,Méier,Méier,3,0,0,0,0, ,,,, ,4,0,1, , , , , ,0,0, , , , 
2524,146,Morro do Urubu,2046,Morro do Urubu,N,1998,603,IPP com base em IBGE - Censo Demográfico 2010,> 500 domicílios,71,Méier,Méier,3,1,0,0,0, ,,,, ,1,0,1,2818,23/06/1999,2818/1999,Morro do Urubu,"A AEIS não abrange toda a área da favela. Em contrapartida, abrange áreas que estão fora do limite estabelecido pelo SABREN.",1,0, , , , 
2525,147,Morro das Palmeiras,2084,Complexo do Alemão,Fazendinha,2138,688,IPP com base em IBGE - Censo Demográfico 2010,> 500 domicílios,156,Complexo do Alemão,Inhaúma,3,0,0,0,0, ,,,, ,4,0,1,4453,27/12/2006,4453/2006,Complexo do Alemão,A  AEIS extrapola o limite da favela estabelecido pelo SABREN.,1,0, , , , 
2526,148,Nova Brasília (RA - Alemão),2084,Complexo do Alemão,Nova Brasília,18744,5750,IPP com base em IBGE - Censo Demográfico 2010,> 500 domicílios,156,Complexo do Alemão,Inhaúma,3,0,6,0,0, ,,,, ,1,0,1,4453,27/12/2006,4453/2006,Complexo do Alemão,A  AEIS extrapola o limite da favela estabelecido pelo SABREN.,1,1,Necessário Reassentamento de edificações situadas sobre o valão, , , 
2527,149,Parque Proletário Águia de Ouro,2145,Parque Proletário Águia de Ouro,N,1169,418,IPP com base em IBGE - Censo Demográfico 2010,entre 101 e 500 domicílios,54,Inhaúma,Inhaúma,3,1,0,0,0, ,,,, ,1,1,0,3051,07/07/2000,3051/2000,Águia de Ouro,"A  AEIS extrapola o limite da favela estabelecido pelo SABREN, porém uma pequena parte da favela está fora dos limites da AEIS.",1,0, , , , 
2528,150,Parque Proletário Engenho da Rainha,0,Isolada,N,1730,528,IBGE - Censo Demográfico 2010,> 500 domicílios,55,Inhaúma,Inhaúma,3,0,0,0,0, ,,,, ,4,0,1, , , , , ,0,0, , , , 
